Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Jalisco,Mexico,"8,442.704",107.4,5.33,120,2.11,2.67,4.15,365,1.40,1.77,2.75,7.67,69.8,76.3,73.0,-2.64,-2.27,-2.46
Zacatecas,Mexico,"1,713.503",22.8,5.62,120,1.75,1.94,3.02,365,1.59,1.76,2.74,8.67,69.4,75.9,72.6,-2.62,-2.24,-2.43
Tamaulipas,Mexico,"3,689.743",45.9,5.26,120,1.29,1.74,2.70,365,1.30,1.75,2.72,7.39,69.6,76.2,72.8,-2.60,-2.24,-2.42
Montenegro,Cntry/Terr,628.062,46.7,10.70,120,3.92,2.90,4.50,365,2.36,1.75,2.71,13.19,72.3,77.5,74.9,-2.28,-1.89,-2.09
Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,120,4.14,2.78,4.31,365,2.57,1.73,2.68,13.67,72.6,78.0,75.2,-2.41,-2.03,-2.22
Tocantins,Brazil,"1,590.921",5.7,NA,120,2.48,2.72,4.22,365,1.57,1.72,2.67,NA,NA,NA,NA,NA,NA,NA
Arequipa,Peru,"1,556.127",24.6,NA,120,1.48,1.66,2.58,365,1.53,1.72,2.67,13.95,69.0,73.3,71.1,-2.03,-1.80,-1.92
Campeche,Mexico,945.785,16.4,4.64,120,0.69,0.95,1.48,365,1.24,1.71,2.65,7.31,69.4,75.7,72.5,-2.52,-2.13,-2.33
Minas Gerais,Brazil,"21,411.788",36.5,NA,120,3.05,3.35,5.21,365,1.54,1.69,2.62,NA,NA,NA,NA,NA,NA,NA
Durango,Mexico,"1,858.666",15.0,5.65,120,1.38,1.81,2.81,365,1.28,1.67,2.59,7.48,69.6,76.1,72.8,-2.50,-2.15,-2.33
