"","LocID","Location","Loc_type","Mid_2020_pop","PopDensity","CDR_year","Days_Est","CCDR_Est","CCMR_Est","ISCDR_Est","Days_Proj","CCDR_Proj","CCMR_Proj","ISCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"272","US02","Alaska","U.S.A.",745.468966380582,0.504626932076,5.96,89,0.0772306243509976,0.0930299916941328,0.10743360416412,181,0.0469394360283795,0.0565420178917798,0.0652962841144612,76.2158721548966,81.1850206714058,-0.0444955726795655,-0.0964178990547708
"157","ISL","Iceland","Cntry/Terr",341.25,3.404,6.7915,104,0.10312764158918,0.0929096507662793,0.107294631136472,196,0.0642268094370935,0.0578631523292665,0.066821966656401,81.6250837882705,84.5419660125753,-0.05725521873876,-0.0561161111107253
"101","CZE","Czechia","Cntry/Terr",10708.982,138.646,10.682,102,0.116938670514813,0.0917491596000844,0.105954463881649,194,0.0621730870605127,0.0487805142852412,0.0563330853545945,76.8595200815613,82.0016502676643,-0.0346421535762431,-0.0487279430243888
"17","BGD","Bangladesh","Cntry/Terr",164689.383,1265.187,5.5395,105,0.0390924670943377,0.0913450089504412,0.105487739547639,197,0.378893443204295,0.88533744563215,1.02241213778068,70.637238771519,74.2011929567593,-0.495024402297375,-0.641464878864895
"153","IND","India","Cntry/Terr",1380004.385,464.149,7.3265,112,0.0412032852241367,0.0898778020120454,0.103793368446707,NA,NA,NA,NA,NA,NA,NA,NA
"214","MTQ","Martinique","Cntry/Terr",375.265,354.024,9.401,99,0.137922736619657,0.0870353321464245,0.100510805728701,NA,NA,NA,NA,NA,NA,NA,NA
"54","BRB","Barbados","Cntry/Terr",287.371,668.305,9.136,87,0.102474765588974,0.0838044994704608,0.0967797509096146,179,0.324095451890203,0.265047272567109,0.306083911727902,77.7382250872394,80.3427539209615,-0.240306874839902,-0.255901508058329
"269","UKR","Ukraine","Cntry/Terr",43733.759,75.492,15.193,111,0.0884380812024352,0.0831693050177546,0.0960462108097332,203,0.307605454118802,0.289279589639345,0.334068060849161,67.0785404652534,76.7674108243653,-0.114530527332917,-0.180208252938414
"18","BGR","Bulgaria","Cntry/Terr",6948.445,64.006,15.5085,114,0.106271410744646,0.0797777418791866,0.0921295400125937,206,0.230939487830647,0.173365825491247,0.200207644139639,71.6009142729283,78.6376876375011,-0.0915860500409877,-0.130067449085359
"151","IDN","Indonesia","Cntry/Terr",273523.621,150.987,6.604,114,0.0337575001765954,0.0747827237123063,0.0863611550567231,NA,NA,NA,NA,NA,NA,NA,NA
"4","ALB","Albania","Cntry/Terr",2877.8,105.029,8.262,111,0.071037748430201,0.073613978356101,0.0850114556352716,203,0.818407326871546,0.848087398293488,0.979394754160634,76.4753620485845,79.7816143626199,-0.624002967040013,-0.509287430315183
"230","PHL","Philippines","Cntry/Terr",109581.085,367.512,6.0025,152,0.0278186215882249,0.0715421276228716,0.0826188251780666,244,0.160719522990669,0.413328050378762,0.477322649886036,67.1537701250968,75.1812502479945,-0.224191114585167,-0.43246452318192
"185","KAZ","Kazakhstan","Cntry/Terr",18776.707,6.955,7.237,97,0.0377787662523715,0.0705861185892176,0.0815147995382859,189,0.450314994944416,0.841371775438911,0.971639367383365,68.8319086670879,77.2272060752188,-0.353277211051477,-0.431837514201234
"209","MNE","Montenegro","Cntry/Terr",628.062,46.696,10.768,99,0.0706357594690275,0.0703471505366568,0.0812388326302043,191,0.031537422874565,0.031408564885156,0.0362714783242074,74.5715765374303,79.372600000746,-0.0175799603695168,-0.042535745683594
"148","HRV","Croatia","Cntry/Terr",4105.268,73.361,13.224,100,0.0953945028680223,0.0670900906123413,0.0774774898602489,192,0.695735019606211,0.489304143364917,0.565061940744488,75.1737320896156,81.3975277817325,-0.298463365515119,-0.303489477244909
"195","LTU","Lithuania","Cntry/Terr",2722.291,43.436,13.997,104,0.100834187087273,0.065828217492344,0.076020243924714,196,0.0572813998166115,0.0373953770473719,0.0431852143820921,70.431417612284,81.3504167533452,-0.0211331408215756,-0.066772587194933
"207","MLT","Malta","Cntry/Terr",441.539,1379.809,8.6025,85,0.0877678782088798,0.0637743699953287,0.0736484041019901,177,0.0398760803901577,0.0289749730386907,0.0334610992371084,80.8491190609804,84.3055527844868,-0.0247387466865518,-0.0623945267453649
"297","US30","Montana","U.S.A.",1076.13721279004,2.85454426828351,9.71,95,0.0787612339109574,0.0614609984979461,0.0709768587948434,187,0.0875481754784923,0.0683178514910614,0.078895342037279,76.5584175228989,80.9279162356327,-0.0557988619885634,-0.0980753671145322
"136","GIN","Guinea","Cntry/Terr",13132.792,53.446,8.1145,78,0.0117908022792224,0.0602194206791827,0.0695430504337878,170,0.0374315516422779,0.191174977040624,0.220774144288809,61.0009304298626,61.8017315646234,-0.0530083248279993,-0.582775792166274
"55","BRN","Brunei Darussalam","Cntry/Terr",437.483,83.014,4.678,97,0.0258743485549518,0.0586742535848496,0.067758648791296,189,0.00957649674289385,0.0217162490933324,0.025078524318192,74.8344721314272,77.1723849547805,-0.0147083717194789,-0.0820668519567818
"219","NER","Niger","Cntry/Terr",24206.636,19.11,7.8865,98,0.010337020385481,0.0571286157487223,0.0659737035231771,190,0.00885854553450376,0.0489576710755105,0.0565376709095772,61.524901743027,63.3630272489102,-0.0162085674173582,-0.557100729617744
"100","CYP","Cyprus","Cntry/Terr",1207.361,130.667,7.201,106,0.054336502160419,0.0555528983070908,0.0641540214957368,198,0.0264432920494543,0.0270352609336366,0.031221066117769,79.0639579132089,83.0998914663551,-0.0213468021632082,-0.0474238777229061
