LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
US41,Oregon,U.S.A.,"4,244.225",17.1,8.84,248,0.28,0.25,0.27,290,0.33,0.29,0.31,9.50,0.26,76.9,81.6,79.2,-0.33,-0.28,-0.31
MRT,Mauritania,Cntry/Terr,"4,649.660",4.5,7.27,232,0.06,0.25,0.27,274,0.05,0.23,0.24,7.12,0.04,63.3,66.6,64.9,-0.11,-0.08,-0.09
PHL,Philippines,Cntry/Terr,"109,581.085",367.5,5.83,294,0.09,0.25,0.26,336,0.11,0.29,0.31,6.15,0.10,67.2,75.4,71.2,-0.20,-0.22,-0.21
NPL,Nepal,Cntry/Terr,"29,136.808",203.3,6.39,189,0.08,0.23,0.25,231,0.14,0.38,0.40,6.45,0.09,69.3,72.3,70.8,-0.19,-0.13,-0.16
IT15,Campania,Italy,"5,801.773","424,534.7",9.20,255,0.29,0.23,0.25,297,0.65,0.52,0.55,10.20,0.53,77.7,83.7,80.6,-0.61,-0.52,-0.57
IT14,Molise,Italy,306.556,"68,830.7",12.10,250,0.40,0.23,0.24,292,0.81,0.46,0.49,13.23,0.65,79.5,85.3,82.3,-0.59,-0.54,-0.56
IT19,Sicilia,Italy,"5,005.165","193,904.0",10.40,254,0.30,0.21,0.22,296,0.75,0.52,0.55,11.41,0.61,78.0,84.0,80.9,-0.64,-0.54,-0.59
GNB,Guinea-Bissau,Cntry/Terr,"1,967.998",70.0,9.72,209,0.04,0.20,0.21,251,0.05,0.24,0.26,9.39,0.03,56.5,60.5,58.4,-0.07,-0.05,-0.06
IT20,Sardegna,Italy,"1,643.577","68,239.9",9.90,251,0.32,0.20,0.21,293,0.71,0.44,0.47,11.15,0.57,79.5,85.5,82.4,-0.60,-0.54,-0.57
KEN,Kenya,Cntry/Terr,"53,771.300",94.5,5.52,240,0.04,0.20,0.21,282,0.07,0.38,0.40,5.52,0.06,64.2,69.0,66.6,-0.19,-0.15,-0.17
US15,Hawaii,U.S.A.,"1,439.609",86.5,7.98,233,0.24,0.19,0.20,275,0.22,0.18,0.19,8.58,0.17,78.8,85.1,81.8,-0.25,-0.25,-0.25
ES05,Canarias,Spain,"2,136.113",286.8,7.05,253,0.22,0.19,0.20,295,0.26,0.23,0.24,8.16,0.21,79.8,84.9,82.3,-0.29,-0.25,-0.27
IDN,Indonesia,Cntry/Terr,"273,523.621",151.0,6.45,256,0.08,0.19,0.20,298,0.09,0.20,0.22,6.75,0.07,69.6,74.0,71.7,-0.13,-0.11,-0.12
ZMB,Zambia,Cntry/Terr,"18,383.956",24.7,6.58,233,0.03,0.19,0.20,275,0.02,0.16,0.16,6.35,0.02,60.9,66.9,63.8,-0.06,-0.05,-0.06
JAM,Jamaica,Cntry/Terr,"2,961.161",273.4,7.56,247,0.12,0.19,0.20,289,0.13,0.20,0.21,7.72,0.10,72.8,76.2,74.4,-0.18,-0.11,-0.15
BLR,Belarus,Cntry/Terr,"9,449.321",46.6,12.55,234,0.18,0.19,0.20,276,0.19,0.19,0.20,12.80,0.14,69.6,79.5,74.4,-0.11,-0.13,-0.12
YEM,Yemen,Cntry/Terr,"29,825.968",56.5,6.01,205,0.04,0.18,0.19,247,0.03,0.15,0.16,6.00,0.02,64.5,67.9,66.1,-0.06,-0.05,-0.06
SVK,Slovakia,Cntry/Terr,"5,459.643",113.5,9.87,229,0.17,0.17,0.18,271,0.43,0.44,0.46,10.60,0.32,73.8,80.7,77.2,-0.34,-0.31,-0.32
TTO,Trinidad and Tobago,Cntry/Terr,"1,399.491",272.8,8.32,241,0.12,0.17,0.18,283,0.12,0.17,0.17,8.88,0.09,70.8,76.2,73.5,-0.13,-0.10,-0.12
PAK,Pakistan,Cntry/Terr,"220,892.331",286.5,6.98,247,0.05,0.17,0.18,289,0.06,0.21,0.22,6.98,0.05,66.3,68.4,67.3,-0.13,-0.08,-0.11
IT17,Basilicata,Italy,564.286,"56,076.9",11.10,243,0.27,0.16,0.17,285,0.40,0.25,0.26,11.95,0.31,78.4,85.3,81.8,-0.31,-0.27,-0.29
DNK,Denmark,Cntry/Terr,"5,792.203",136.5,9.72,251,0.19,0.16,0.17,293,0.21,0.17,0.18,10.13,0.17,78.9,82.8,80.8,-0.19,-0.16,-0.18
DZA,Algeria,Cntry/Terr,"43,851.043",18.4,4.72,255,0.07,0.16,0.17,297,0.15,0.32,0.34,4.98,0.12,75.5,78.1,76.7,-0.35,-0.23,-0.29
DEU,Germany,Cntry/Terr,"83,783.945",240.4,11.16,257,0.23,0.16,0.17,299,0.52,0.35,0.37,12.04,0.42,78.7,83.5,81.0,-0.43,-0.36,-0.40
SDN,Sudan,Cntry/Terr,"43,849.269",24.8,7.24,251,0.04,0.16,0.17,293,0.03,0.13,0.14,7.14,0.03,63.6,67.4,65.4,-0.08,-0.05,-0.06
GAB,Gabon,Cntry/Terr,"2,225.728",8.6,6.91,246,0.04,0.15,0.16,288,0.04,0.15,0.15,6.78,0.03,64.4,68.7,66.5,-0.07,-0.05,-0.06
SEN,Senegal,Cntry/Terr,"16,743.930",87.0,5.81,234,0.03,0.15,0.16,276,0.03,0.13,0.14,5.57,0.02,65.9,70.1,68.0,-0.07,-0.05,-0.06
US23,Maine,U.S.A.,"1,355.887",17.0,10.99,238,0.19,0.15,0.15,280,0.26,0.19,0.20,11.97,0.20,75.9,81.0,78.4,-0.20,-0.16,-0.18
BGD,Bangladesh,Cntry/Terr,"164,689.383","1,265.2",5.55,247,0.06,0.14,0.15,289,0.06,0.16,0.17,5.68,0.05,71.0,74.7,72.8,-0.12,-0.10,-0.11
CAF,Central African Republic,Cntry/Terr,"4,829.764",7.8,12.39,182,0.03,0.14,0.15,224,0.02,0.12,0.12,11.82,0.01,51.3,55.7,53.4,-0.02,-0.02,-0.02
LTU,Lithuania,Cntry/Terr,"2,722.291",43.4,13.56,246,0.19,0.13,0.14,288,0.62,0.45,0.47,15.02,0.49,70.1,81.0,75.4,-0.33,-0.43,-0.38
ZWE,Zimbabwe,Cntry/Terr,"14,862.927",38.4,8.07,243,0.03,0.13,0.14,285,0.03,0.14,0.15,7.83,0.02,59.7,62.9,61.3,-0.05,-0.04,-0.05
CMR,Cameroon,Cntry/Terr,"26,545.864",56.2,9.36,242,0.02,0.13,0.14,284,0.02,0.12,0.13,8.97,0.02,58.2,60.8,59.5,-0.05,-0.03,-0.04
COG,Congo,Cntry/Terr,"5,518.092",16.2,6.75,234,0.03,0.13,0.14,276,0.02,0.11,0.12,6.68,0.02,63.1,66.1,64.6,-0.05,-0.03,-0.04
MMR,Myanmar,Cntry/Terr,"54,409.794",83.3,8.19,235,0.05,0.12,0.13,277,0.08,0.20,0.21,8.48,0.06,64.1,70.2,67.1,-0.09,-0.07,-0.08
GRC,Greece,Cntry/Terr,"10,423.056",80.9,10.81,255,0.19,0.12,0.13,297,0.37,0.24,0.25,11.76,0.30,79.7,84.5,82.0,-0.32,-0.25,-0.29
CN17,Hubei,China,"60,772.884",326.9,7.00,315,0.09,0.12,0.13,357,0.08,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA
US50,Vermont,U.S.A.,634.325,26.5,9.63,245,0.14,0.12,0.12,287,0.13,0.11,0.11,10.25,0.10,76.7,81.8,79.2,-0.12,-0.10,-0.11
LBR,Liberia,Cntry/Terr,"5,057.677",52.5,7.60,231,0.03,0.11,0.12,273,0.02,0.09,0.10,7.41,0.02,62.8,65.7,64.2,-0.04,-0.03,-0.04
ISL,Iceland,Cntry/Terr,341.250,3.4,6.70,246,0.11,0.11,0.11,288,0.32,0.32,0.34,7.23,0.25,81.3,84.3,82.7,-0.42,-0.32,-0.37
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.34,227,0.07,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
