LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
MWI,Malawi,Cntry/Terr,"19,129.955",202.9,6.37,88,0.00,0.02,0.02,178,0.36,1.92,2.20,60.8,66.9,-0.52,-0.79
CUW,Curacao,Cntry/Terr,164.100,369.6,9.08,105,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
JAM,Jamaica,Cntry/Terr,"2,961.161",273.4,7.63,107,0.01,0.02,0.02,197,0.04,0.06,0.07,72.9,76.1,-0.04,-0.13
SGP,Singapore,Cntry/Terr,"5,850.343","8,357.6",4.83,105,0.02,0.02,0.02,195,0.01,0.01,0.01,81.6,85.8,-0.01,-0.02
GMB,Gambia,Cntry/Terr,"2,416.664",238.8,7.55,99,0.00,0.02,0.02,189,0.01,0.04,0.04,61.0,63.4,-0.01,-0.46
CRI,Costa Rica,Cntry/Terr,"5,094.114",99.8,5.24,107,0.01,0.02,0.02,197,0.01,0.02,0.02,78.0,82.9,-0.02,-0.08
GEO,Georgia,Cntry/Terr,"3,989.175",57.4,12.77,91,0.02,0.02,0.02,181,0.01,0.01,0.01,69.5,78.2,0.00,-0.07
NZL,New Zealand,Cntry/Terr,"4,822.233",18.3,7.11,98,0.02,0.02,0.02,188,0.01,0.01,0.01,80.7,84.0,-0.01,-0.04
ETH,Ethiopia,Cntry/Terr,"114,963.583",115.0,6.33,90,0.00,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
KOR,Republic of Korea,Cntry/Terr,"51,269.183",527.3,6.40,136,0.01,0.01,0.02,226,0.01,0.01,0.01,80.0,86.0,-0.01,-0.03
VEN,Venezuela (Bolivarian Republic of),Cntry/Terr,"28,435.943",32.2,7.14,98,0.01,0.01,0.02,188,0.20,0.35,0.40,68.3,75.8,-0.18,-0.40
AGO,Angola,Cntry/Terr,"32,866.268",26.4,7.89,95,0.00,0.01,0.01,185,0.09,0.53,0.60,58.5,63.6,-0.14,-0.68
JOR,Jordan,Cntry/Terr,"10,203.140",114.9,3.93,99,0.00,0.01,0.01,189,0.01,0.03,0.03,73.0,76.3,-0.01,-0.14
RWA,Rwanda,Cntry/Terr,"12,952.209",525.0,5.11,35,0.00,0.01,0.01,125,0.00,0.01,0.01,67.0,71.1,0.00,-0.25
AUS,Australia,Cntry/Terr,"25,499.881",3.3,6.66,125,0.01,0.01,0.01,215,0.01,0.01,0.01,81.6,85.5,-0.01,-0.03
JPN,Japan,Cntry/Terr,"126,476.458",346.9,10.98,142,0.02,0.01,0.01,232,0.01,0.01,0.01,81.6,87.8,-0.01,-0.03
MOZ,Mozambique,Cntry/Terr,"31,255.435",39.7,8.12,40,0.00,0.01,0.01,130,0.01,0.06,0.07,58.0,63.4,-0.01,-0.52
CHN,China,Cntry/Terr,"1,439,323.774",153.3,7.47,175,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
UZB,Uzbekistan,Cntry/Terr,"33,469.199",78.7,5.83,99,0.00,0.01,0.01,189,0.00,0.00,0.00,69.6,73.7,0.00,-0.20
ZWE,Zimbabwe,Cntry/Terr,"14,862.927",38.4,7.85,103,0.00,0.01,0.01,193,0.01,0.06,0.07,59.8,62.6,-0.02,-0.37
TZA,United Republic of Tanzania,Cntry/Terr,"59,734.213",67.4,6.21,95,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
